location,Da Nang,Da Nang,Da Nang,Da Nang,Da Nang,Da Nang,Da Nang,Da Nang,Da Nang,Da Nang
lat,15.66656,15.66656,15.66656,15.66656,15.66656,15.66656,15.66656,15.66656,15.66656,15.66656
lon,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125,108.28125
asl,105.79,105.79,105.79,105.79,105.79,105.79,105.79,105.79,105.79,105.79
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Precipitation Total
unit,°C,°C,°C,%,%,%,hPa,hPa,hPa,mm
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,MSL,MSL,MSL,sfc
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation
,,,,,,,,,,
,,,,,,,,,,
timestamp,Da Nang Temperature [2 m elevation corrected],Da Nang Temperature [2 m elevation corrected],Temperature,Da Nang Relative Humidity [2 m],Da Nang Relative Humidity [2 m],Relative Humidity,Da Nang Mean Sea Level Pressure [MSL],Da Nang Mean Sea Level Pressure [MSL],Mean Sea Level Pressure,Total Precipitation
20200312T0000,22.566137,30.986137,25.787386,64,96,84.75,1011,1015.1,1012.7041,0
20200313T0000,23.176136,33.836136,27.660727,54,99,81.333336,1010.1,1013.8,1012.179,0
20200314T0000,21.856136,27.746136,24.161135,80,96,92.083336,1014,1017.5,1015.37506,0.2
20200315T0000,22.096136,24.006136,22.96197,89,96,93.916664,1014.6,1018.2,1016.1916,1.1
20200316T0000,21.526136,25.526136,23.627386,82,96,91.458336,1014.8,1018,1016.2834,0
20200317T0000,21.756136,29.256136,24.811136,64,96,86,1013.2,1017.2,1015.10004,0
20200318T0000,21.966137,28.066137,24.40822,66,96,86.541664,1011.1,1016.2,1013.3293,0
20200319T0000,23.006136,30.216137,25.946558,69,97,87.75,1009.9,1014.2,1012.5457,0
20200320T0000,22.846136,29.646137,25.170717,69,97,88.583336,1010.8,1015.1,1012.84174,0
20200321T0000,22.476137,32.436134,26.151556,59,99,84.25,1010.2,1014.5,1012.36664,0
20200322T0000,22.156137,32.106136,26.15822,58,99,83.708336,1009.7,1013.7,1011.7292,0
20200323T0000,22.306137,31.026136,25.451971,62,98,85.25,1009.5,1014,1011.8667,0
20200324T0000,22.216137,30.786137,25.52572,61,100,84.208336,1009.4,1013.8,1011.2,0
20200325T0000,23.096136,31.166136,25.9328,61,98,84.25,1008.3,1013,1010.6125,0
20200326T0000,23.336136,32.686134,26.919466,59,97,83.125,1008.4,1012.8,1010.57916,0
