location,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport
lat,15.87821,15.87821,15.87821,15.87821
lon,108.28125,108.28125,108.28125,108.28125
asl,26.241,26.241,26.241,26.241
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total
unit,°C,%,hPa,mm
level,2 m elevation corrected,2 m,MSL,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
,,,,
,,,,
timestamp,Temperature,Relative Humidity,Mean Sea Level Pressure,Total Precipitation
20190101T0000,20.255566,83.19467,1022.2,0.1
20190101T0100,20.075565,84.55421,1021.3,0.1
20190101T0200,19.835566,84.368286,1020.9,0
20190101T0300,19.895567,85.5035,1020.4,0.1
20190101T0400,19.785566,87.680916,1020.7,0.2
20190101T0500,21.315565,85.37548,1021.2,0.4
20190101T0600,21.175566,85.84399,1021.9,0.4
20190101T0700,20.765566,88.53548,1022,0.4
20190101T0800,20.545567,90.7609,1022.7,0.3
20190101T0900,21.205566,86.601715,1023.6,0.5
20190101T1000,20.955566,88.494934,1023.7,0.3
20190101T1100,20.905565,89.826584,1022.6,0.2
20190101T1200,21.025566,87.94949,1021.7,0.1
20190101T1300,20.895567,87.281204,1020.3,0.1
20190101T1400,20.915565,86.79257,1019.7,0.1
20190101T1500,20.975567,87.015495,1019.7,0.1
20190101T1600,21.225567,85.848755,1019.9,0.1
20190101T1700,20.465567,88.17969,1020.3,0.1
20190101T1800,20.325565,86.95793,1021.2,0.1
20190101T1900,20.235565,87.00464,1021.5,0.1
20190101T2000,20.415565,86.42088,1021.5,0.1
20190101T2100,20.085566,87.70634,1021.7,0.1
20190101T2200,19.695566,89.01052,1021.9,0.2
20190101T2300,19.495565,89.78475,1021.4,0.1
20190102T0000,19.585566,89.45225,1021.2,0.1
20190102T0100,19.545567,90.241936,1020.9,0.1
20190102T0200,19.575565,89.50792,1020.3,0.1
20190102T0300,19.465567,89.6129,1020,0.1
20190102T0400,19.475567,89.50065,1019.9,0.1
20190102T0500,20.225567,88.660065,1019.8,0.1
20190102T0600,20.315565,88.55585,1020.6,0.2
20190102T0700,20.135567,89.548256,1021.1,0.2
20190102T0800,20.125566,90.73452,1021.9,0.2
20190102T0900,20.785566,88.98088,1022.3,0.2
20190102T1000,21.005566,88.94175,1022.3,0.2
20190102T1100,20.625566,90.200966,1021.6,0.1
20190102T1200,21.055567,87.95192,1020.4,0.1
20190102T1300,21.885567,85.27183,1019.2,0.1
20190102T1400,21.815565,85.42448,1018.4,0.1
20190102T1500,21.285566,86.44677,1018.3,0.1
20190102T1600,21.805567,84.364586,1018.4,0.1
20190102T1700,21.285566,88.741295,1019.6,0.1
20190102T1800,21.195566,88.4584,1020.3,0.1
20190102T1900,21.135567,87.41099,1020.7,0.1
20190102T2000,21.335566,87.04702,1021,0.1
20190102T2100,21.235565,88.076324,1020.9,0.1
20190102T2200,20.345566,89.45106,1021.1,0.1
20190102T2300,20.325565,89.337585,1020.9,0.1
20190103T0000,20.345566,89.84416,1020.7,0.1
20190103T0100,20.115566,91.99227,1020.2,0.1
20190103T0200,20.105566,91.64702,1019.6,0.1
