location,Da Nang,Da Nang,Da Nang,Da Nang
lat,15.66656,15.66656,15.66656,15.66656
lon,108.28125,108.28125,108.28125,108.28125
asl,105.79,105.79,105.79,105.79
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total
unit,°C,%,hPa,mm
level,2 m elevation corrected,2 m,MSL,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
,,,,
,,,,
datetime,Temperature,Relative Humidity,Mean Sea Level Pressure,Total Precipitation
20200312T0000,22.566137,94,1014.4,0
20200312T0100,23.806137,89,1014.9,0
20200312T0200,25.906137,81,1015.1,0
20200312T0300,28.036137,74,1014.6,0
20200312T0400,29.476137,68,1013.8,0
20200312T0500,30.466137,65,1013.2,0
20200312T0600,30.916136,65,1012.3,0
20200312T0700,30.986137,64,1011.7,0
20200312T0800,30.536137,67,1011.3,0
20200312T0900,29.596136,72,1011,0
20200312T1000,28.116137,79,1011.2,0
20200312T1100,24.996136,93,1011.8,0
20200312T1200,25.436136,94,1011.5,0
20200312T1300,24.916136,95,1012.8,0
20200312T1400,24.476137,96,1013.8,0
20200312T1500,24.076136,96,1013.6,0
20200312T1600,23.786137,96,1013.4,0
20200312T1700,23.516136,95,1012.9,0
20200312T1800,23.256136,95,1012,0
20200312T1900,23.046137,94,1011.3,0
20200312T2000,22.916136,92,1011.5,0
20200312T2100,22.776136,91,1011.7,0
20200312T2200,22.666136,90,1012.2,0
20200312T2300,22.626137,89,1012.9,0
20200313T0000,24.576136,87,1013.4,0
20200313T0100,27.616137,80,1013.8,0
20200313T0200,29.796137,73,1013.8,0
20200313T0300,31.486137,68,1013.5,0
20200313T0400,32.696136,62,1013.3,0
20200313T0500,33.436134,58,1012.6,0
20200313T0600,33.836136,54,1011.5,0
20200313T0700,33.786133,55,1010.8,0
20200313T0800,33.446136,55,1010.3,0
20200313T0900,32.546135,60,1010.1,0
20200313T1000,30.896137,68,1010.1,0
20200313T1100,27.696136,82,1011.1,0
20200313T1200,26.366137,91,1011.5,0
20200313T1300,25.426136,94,1012.2,0
20200313T1400,24.796137,98,1012.8,0
20200313T1500,24.366137,99,1013.3,0
20200313T1600,24.486137,96,1013.5,0
20200313T1700,24.406137,96,1013,0
20200313T1800,24.196136,96,1012,0
20200313T1900,23.986137,96,1011.4,0
20200313T2000,23.816137,96,1011.1,0
20200313T2100,23.616137,96,1011.7,0
20200313T2200,23.406137,96,1012.2,0
20200313T2300,23.176136,96,1013.3,0
20200314T0000,23.386137,95,1014.2,0
20200314T0100,24.426136,91,1014.8,0
20200314T0200,25.676136,87,1015.1,0
20200314T0300,26.656137,85,1015.4,0
20200314T0400,27.276136,83,1015.6,0
20200314T0500,27.746136,80,1015.3,0
20200314T0600,27.556137,82,1014.8,0
20200314T0700,26.526136,86,1014.1,0
20200314T0800,25.316137,92,1014,0
20200314T0900,24.536137,92,1014.2,0
20200314T1000,23.546137,93,1014.7,0
20200314T1100,22.656137,95,1015.6,0
20200314T1200,24.096136,95,1015,0
20200314T1300,23.866137,95,1016.3,0
20200314T1400,23.716137,95,1016.9,0
20200314T1500,23.466137,96,1017.5,0
20200314T1600,23.186136,96,1017.2,0
20200314T1700,22.896137,96,1016.9,0
20200314T1800,22.716137,96,1015.4,0
20200314T1900,22.446136,96,1014.9,0
20200314T2000,22.276136,96,1014.8,0
20200314T2100,22.096136,96,1015,0
20200314T2200,21.946136,96,1015.3,0.1
20200314T2300,21.856136,96,1016,0.1
20200315T0000,22.096136,94,1017.1,0.1
20200315T0100,22.326136,93,1017.7,0.2
20200315T0200,22.476137,93,1018,0.2
20200315T0300,22.746136,93,1018.2,0.3
20200315T0400,22.896137,93,1018,0.2
20200315T0500,23.086136,93,1017.6,0.1
20200315T0600,23.516136,92,1016.8,0
20200315T0700,23.746136,92,1015.8,0
20200315T0800,23.966137,91,1015.4,0
20200315T0900,24.006136,89,1015,0
20200315T1000,23.536137,90,1014.9,0
20200315T1100,22.826136,94,1015.5,0
20200315T1200,23.476137,93,1015.6,0
20200315T1300,23.156137,95,1016.3,0
20200315T1400,23.116137,95,1016.8,0
20200315T1500,23.066137,96,1016.8,0
20200315T1600,23.006136,96,1016.3,0
20200315T1700,22.936136,96,1016,0
20200315T1800,22.846136,96,1015.5,0
20200315T1900,22.696136,96,1014.7,0
20200315T2000,22.546137,96,1014.6,0
20200315T2100,22.446136,96,1014.8,0
20200315T2200,22.336136,96,1015.2,0
20200315T2300,22.236137,96,1016,0
20200316T0000,22.416136,95,1016.9,0
20200316T0100,22.866137,93,1017.8,0
20200316T0200,23.486137,92,1018,0
20200316T0300,24.306137,90,1017.8,0
20200316T0400,25.086136,85,1017.4,0
20200316T0500,25.446136,83,1016.9,0
20200316T0600,25.516136,82,1016.4,0
20200316T0700,25.526136,82,1015.8,0
20200316T0800,25.386137,83,1015.6,0
20200316T0900,25.066137,85,1014.8,0
20200316T1000,24.636137,87,1014.8,0
20200316T1100,23.816137,91,1015.6,0
20200316T1200,23.896137,93,1015.9,0
20200316T1300,23.656137,95,1016.9,0
20200316T1400,23.546137,96,1017.1,0
20200316T1500,23.416136,96,1016.9,0
20200316T1600,23.246136,96,1016.8,0
20200316T1700,22.956137,96,1016.6,0
20200316T1800,22.756136,95,1016,0
20200316T1900,22.496136,96,1015.3,0
20200316T2000,22.236137,96,1015,0
20200316T2100,21.976137,96,1015,0
20200316T2200,21.796137,96,1015.4,0
20200316T2300,21.526136,96,1016.1,0
20200317T0000,21.756136,95,1016.6,0
20200317T0100,22.966137,90,1017,0
20200317T0200,24.906137,82,1017.2,0
20200317T0300,26.896137,74,1016.8,0
20200317T0400,28.106136,67,1016.4,0
20200317T0500,28.926136,65,1015.7,0
20200317T0600,29.256136,64,1014.8,0
20200317T0700,29.166136,65,1014.1,0
20200317T0800,28.726137,68,1013.6,0
20200317T0900,27.826136,72,1013.2,0
20200317T1000,26.516136,79,1013.2,0
20200317T1100,23.926136,92,1014,0
20200317T1200,24.406137,95,1014.4,0
20200317T1300,24.096136,96,1015.6,0
20200317T1400,23.856136,96,1016.2,0
20200317T1500,23.616137,96,1016.4,0
20200317T1600,23.386137,96,1016.5,0
20200317T1700,23.126137,96,1015.8,0
20200317T1800,22.906137,96,1014.7,0
20200317T1900,22.626137,96,1014.1,0
20200317T2000,22.396137,96,1013.9,0
20200317T2100,22.256136,96,1013.7,0
20200317T2200,22.026136,96,1013.9,0
20200317T2300,21.796137,96,1014.6,0
20200318T0000,21.966137,95,1015.3,0
20200318T0100,22.686136,91,1016,0
20200318T0200,23.796137,84,1016.2,0
20200318T0300,25.166136,75,1016,0
20200318T0400,26.606136,69,1015.5,0
20200318T0500,27.556137,66,1014.4,0
20200318T0600,28.046137,66,1013.1,0
20200318T0700,28.066137,69,1012.1,0
20200318T0800,27.706137,72,1011.5,0
20200318T0900,26.556137,76,1011.1,0
20200318T1000,25.346136,82,1011.9,0
20200318T1100,23.706137,90,1012.5,0
20200318T1200,23.576136,95,1012.5,0
20200318T1300,24.096136,92,1013.3,0
20200318T1400,23.796137,93,1013.9,0
20200318T1500,23.546137,95,1014,0
20200318T1600,23.376137,95,1014,0
20200318T1700,23.256136,96,1013.2,0
20200318T1800,23.106136,96,1012.3,0
20200318T1900,22.976137,96,1011.8,0
20200318T2000,22.866137,96,1011.8,0
20200318T2100,22.776136,96,1012.2,0
